received_timestamp,sent_timestamp,latency_ms
22:36:46.571,22:36:45.083,1488
22:36:48.482,22:36:47.041,1441
22:36:50.624,22:36:48.973,1651
22:36:52.808,22:36:50.934,1874
22:36:54.685,22:36:52.955,1730
22:36:56.818,22:36:55.025,1793
22:36:58.691,22:36:57.019,1672
22:37:00.705,22:36:59.014,1691
22:37:02.551,22:37:01.046,1505
22:37:04.706,22:37:03.002,1704
22:37:06.676,22:37:04.986,1690
22:37:08.365,22:37:07.134,1231
22:37:10.424,22:37:09.103,1321
22:37:12.587,22:37:11.046,1541
22:37:14.727,22:37:13.009,1718
22:37:16.623,22:37:14.996,1627
22:37:18.810,22:37:16.954,1856
22:37:20.666,22:37:18.963,1703
22:37:22.559,22:37:20.956,1603
22:37:24.613,22:37:22.927,1686
22:37:26.621,22:37:24.946,1675
22:37:28.756,22:37:27.009,1747
22:37:30.572,22:37:29.057,1515
22:37:32.748,22:37:31.065,1683
22:37:34.632,22:37:33.066,1566
22:37:36.800,22:37:35.075,1725
22:37:38.684,22:37:37.061,1623
22:37:40.390,22:37:39.107,1283
22:37:42.478,22:37:41.070,1408
22:37:44.741,22:37:43.097,1644
22:37:46.706,22:37:45.106,1600
22:37:48.624,22:37:47.076,1548
22:37:50.660,22:37:49.069,1591
22:37:52.746,22:37:51.072,1674
22:37:58.770,22:37:57.104,1666
22:38:00.669,22:37:59.148,1521
22:38:02.660,22:38:01.126,1534
22:38:04.805,22:38:03.110,1695
22:38:06.694,22:38:05.159,1535
22:38:08.358,22:38:06.940,1418
22:38:10.543,22:38:09.131,1412
22:38:12.683,22:38:11.166,1517
22:38:14.680,22:38:12.949,1731
22:38:16.720,22:38:15.132,1588
22:38:18.679,22:38:17.133,1546
22:38:24.564,22:38:22.956,1608
22:38:26.725,22:38:24.939,1786
22:38:28.535,22:38:26.949,1586
22:38:30.414,22:38:28.949,1465
22:38:32.709,22:38:31.122,1587
22:38:34.883,22:38:33.149,1734
22:38:36.724,22:38:35.101,1623
22:38:38.607,22:38:37.142,1465
22:38:40.799,22:38:39.108,1691
22:38:42.868,22:38:40.919,1949
22:38:44.856,22:38:43.150,1706
22:38:46.617,22:38:44.935,1682
22:38:48.856,22:38:47.156,1700
22:38:50.680,22:38:49.162,1518
22:38:52.807,22:38:50.994,1813
22:38:54.743,22:38:53.044,1699
22:38:56.881,22:38:55.080,1801
22:38:58.787,22:38:57.052,1735
22:39:00.820,22:38:59.046,1774
22:39:02.688,22:39:01.036,1652
22:39:04.672,22:39:03.039,1633
22:39:06.523,22:39:05.042,1481
22:39:08.723,22:39:07.008,1715
22:39:12.695,22:39:11.013,1682
22:39:14.702,22:39:13.002,1700
22:39:16.538,22:39:14.990,1548
22:39:18.526,22:39:16.957,1569
22:39:20.700,22:39:18.979,1721
22:39:22.613,22:39:21.004,1609
22:39:24.675,22:39:23.007,1668
22:39:26.654,22:39:24.954,1700
22:39:28.711,22:39:26.975,1736
22:39:32.636,22:39:31.133,1503
22:39:34.710,22:39:33.120,1590
22:39:36.654,22:39:35.137,1517
22:39:38.420,22:39:37.104,1316
22:39:40.465,22:39:39.085,1380
22:39:42.642,22:39:41.027,1615
22:39:44.663,22:39:42.982,1681
22:39:46.773,22:39:44.975,1798
22:39:48.534,22:39:46.993,1541
22:39:50.456,22:39:49.006,1450
22:39:52.915,22:39:50.958,1957
22:39:54.750,22:39:53.003,1747
22:39:57.046,22:39:55.033,2013
22:39:58.606,22:39:57.055,1551
22:40:00.647,22:39:59.023,1624
22:40:02.664,22:40:01.096,1568
22:40:04.978,22:40:03.081,1897
22:40:06.574,22:40:05.105,1469
22:40:08.734,22:40:07.102,1632
22:40:10.686,22:40:09.141,1545
22:40:12.793,22:40:11.146,1647
22:40:14.798,22:40:13.125,1673
22:40:16.883,22:40:15.081,1802
22:40:18.576,22:40:17.039,1537
22:40:20.875,22:40:19.013,1862
22:40:22.740,22:40:21.049,1691
22:40:24.696,22:40:23.076,1620
22:40:26.709,22:40:25.026,1683
22:40:30.971,22:40:29.010,1961
22:40:32.578,22:40:30.967,1611
22:40:34.703,22:40:32.993,1710
22:40:36.934,22:40:34.942,1992
22:40:38.859,22:40:36.969,1890
22:40:40.795,22:40:38.973,1822
22:40:42.794,22:40:41.008,1786
22:40:44.842,22:40:43.025,1817
22:40:46.902,22:40:45.074,1828
22:40:48.775,22:40:47.024,1751
22:40:50.835,22:40:49.058,1777
22:40:52.525,22:40:51.018,1507
22:40:54.771,22:40:53.017,1754
22:40:58.912,22:40:56.967,1945
22:41:00.596,22:40:58.968,1628
22:41:02.899,22:41:00.988,1911
22:41:04.660,22:41:02.996,1664
22:41:07.190,22:41:05.019,2171
22:41:08.935,22:41:07.037,1898
22:41:10.748,22:41:09.087,1661
22:41:12.762,22:41:11.080,1682
22:41:14.852,22:41:13.068,1784
22:41:16.658,22:41:15.101,1557
22:41:18.845,22:41:17.086,1759
22:41:20.410,22:41:19.126,1284
22:41:22.692,22:41:21.088,1604
22:41:24.984,22:41:23.063,1921
22:41:26.699,22:41:24.998,1701
22:41:28.725,22:41:27.018,1707
22:41:30.749,22:41:29.016,1733
22:41:32.765,22:41:30.988,1777
22:41:34.611,22:41:32.950,1661
22:41:36.968,22:41:34.966,2001
22:41:38.584,22:41:36.952,1632
22:41:40.946,22:41:38.944,2001
22:41:42.909,22:41:40.995,1914
22:41:44.824,22:41:42.993,1831
22:41:46.755,22:41:45.017,1738
22:41:48.445,22:41:46.999,1446
22:41:50.837,22:41:49.152,1685
22:41:52.627,22:41:51.136,1491
22:41:54.709,22:41:53.087,1622
22:41:56.697,22:41:55.060,1637
22:41:58.928,22:41:57.076,1852
22:42:00.748,22:41:59.134,1614
22:42:02.569,22:42:00.955,1614
22:42:04.692,22:42:03.017,1675
22:42:06.580,22:42:05.009,1571
22:42:08.561,22:42:07.075,1486
22:42:10.683,22:42:09.054,1629
22:42:12.627,22:42:11.057,1570
22:42:14.570,22:42:13.076,1494
22:42:16.879,22:42:15.069,1810
22:42:18.696,22:42:16.923,1773
22:42:20.754,22:42:19.143,1611
22:42:22.565,22:42:21.143,1422
22:42:24.586,22:42:23.124,1462
22:42:26.688,22:42:25.125,1563
22:42:28.722,22:42:26.931,1791
22:42:30.659,22:42:28.931,1728
22:42:32.838,22:42:30.975,1863
22:42:34.649,22:42:33.040,1609
22:42:36.916,22:42:35.048,1868
22:42:38.754,22:42:37.131,1623
22:42:40.557,22:42:38.933,1624
22:42:42.728,22:42:40.948,1780
22:42:44.714,22:42:42.973,1741
22:42:46.616,22:42:44.991,1625
22:42:48.887,22:42:47.014,1873
22:42:50.761,22:42:49.039,1722
22:42:52.589,22:42:51.107,1482
22:42:54.669,22:42:53.116,1553
22:42:56.626,22:42:55.122,1504
22:42:58.779,22:42:57.113,1666
22:43:00.744,22:42:58.955,1789
22:43:02.658,22:43:00.946,1712
22:43:04.700,22:43:02.959,1741
22:43:06.783,22:43:04.966,1817
22:43:08.819,22:43:07.002,1817
22:43:10.747,22:43:09.065,1682
22:43:12.871,22:43:11.117,1754
22:43:14.904,22:43:12.933,1971
22:43:16.747,22:43:14.959,1788
22:43:18.987,22:43:17.029,1958
22:43:20.710,22:43:19.002,1708
22:43:23.017,22:43:21.068,1949
22:43:24.802,22:43:23.111,1691
22:43:26.706,22:43:25.126,1580
22:43:28.624,22:43:26.966,1658
22:43:30.542,22:43:28.964,1578
22:43:32.902,22:43:30.998,1904
22:43:34.494,22:43:33.012,1482
22:43:36.687,22:43:35.041,1646
22:43:38.618,22:43:37.041,1577
22:43:40.892,22:43:39.015,1877
22:43:42.687,22:43:41.069,1618
22:43:44.972,22:43:43.059,1913
22:43:46.742,22:43:45.085,1657
22:43:48.696,22:43:47.094,1602
22:43:52.651,22:43:50.940,1711
22:43:54.868,22:43:52.960,1908
22:43:56.573,22:43:55.010,1563
22:43:58.721,22:43:57.055,1666
22:44:00.945,22:43:59.073,1872
22:44:02.483,22:44:01.075,1408
22:44:04.562,22:44:03.102,1460
22:44:06.703,22:44:05.143,1560
22:44:08.671,22:44:06.984,1687
22:44:10.574,22:44:09.022,1552
22:44:12.395,22:44:11.062,1333
22:44:14.712,22:44:13.072,1640
22:44:16.814,22:44:15.091,1723
22:44:18.740,22:44:16.939,1801
22:44:20.422,22:44:19.156,1266
22:44:22.964,22:44:20.968,1996
22:44:24.596,22:44:22.928,1668
22:44:26.539,22:44:24.974,1565
22:44:28.689,22:44:26.991,1698
22:44:30.723,22:44:29.005,1718
22:44:32.779,22:44:31.033,1746
22:44:34.566,22:44:33.027,1539
22:44:36.601,22:44:35.029,1572
22:44:40.973,22:44:39.078,1895
22:44:42.582,22:44:41.120,1462
22:44:44.427,22:44:43.120,1307
22:44:46.888,22:44:45.128,1760
22:44:48.375,22:44:46.944,1431
22:44:50.597,22:44:49.139,1458
22:44:52.551,22:44:51.158,1393
22:44:54.742,22:44:52.954,1788
22:44:56.511,22:44:55.015,1496
22:44:58.772,22:44:57.033,1739
22:45:00.499,22:44:59.035,1464
22:45:02.660,22:45:01.092,1568
22:45:04.404,22:45:03.104,1300
22:45:06.546,22:45:05.078,1468
22:45:08.527,22:45:07.092,1435
22:45:10.922,22:45:09.149,1773
22:45:12.840,22:45:10.935,1905
22:45:14.537,22:45:12.987,1550
22:45:16.541,22:45:15.020,1521
22:45:18.865,22:45:17.035,1830
22:45:20.397,22:45:19.058,1339
22:45:22.576,22:45:21.045,1531
22:45:24.685,22:45:23.020,1665
22:45:26.764,22:45:25.018,1746
22:45:29.117,22:45:27.078,2039
22:45:30.627,22:45:29.073,1554
22:45:32.895,22:45:31.101,1794
22:45:34.947,22:45:33.125,1822
22:45:36.460,22:45:35.105,1355
22:45:38.521,22:45:37.118,1403
22:45:40.981,22:45:39.137,1844
22:45:44.587,22:45:43.149,1438
22:45:46.570,22:45:44.978,1592
22:45:48.816,22:45:46.951,1865
22:45:50.524,22:45:48.937,1587
22:45:52.719,22:45:51.151,1568
22:45:54.563,22:45:52.938,1625
22:45:56.577,22:45:54.960,1617
22:45:58.533,22:45:56.956,1577
22:46:00.472,22:45:58.954,1518
22:46:02.577,22:46:00.962,1615
22:46:04.863,22:46:02.979,1884
22:46:06.854,22:46:04.966,1888
22:46:08.589,22:46:06.945,1644
22:46:10.772,22:46:09.146,1626
22:46:12.788,22:46:11.142,1646
22:46:14.634,22:46:12.942,1692
22:46:16.439,22:46:14.958,1481
